用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,最后修改者,修改日期,用例版本,相关用例
11328,目不转睛(#6),探索性测试(#376),,使用遍历测试法对博客列表进行探索性测试,"蝉知登录
点击蝉知
点击博客","1. 新增博客（只添加了博客必填项）
1.1. 点击发布博客
1.2. 选择已定义的类目，“菠萝派”
1.3. 添加博客标题，“博客标题”
1.4. 添加博客内容，“博客内容”
1.5. 点击保存
2. 对已有博客进行二次编辑
2.1. 点击编辑
2.2. 修改博客名称，“修改后的博客名称”
2.3. 点击保存
3. 对博客添加图片
3.1. 点击图片
3.2. 点击添加文件，上传桌面的图片，“1.png”
3.3. 点击开始上传
4. 对博客进行布局设置
4.1. 点击布局下拉框，选择上部
4.2. 选择博客分类区块
5. 对设置完成的博客进行预览
5.1. 点击预览
5.2. 预览后，内容无误后，点击关闭按钮
6. 对最终博客进行转发
6.1. 点击转发下拉框
6.2. 选择百度
6.3. 选择推送类型，为“新增”
6.4. 点击保存
","1. 
1.1. 成功跳转到新增博客页
1.2. 成功选择类目
1.3. 成功添加了博客标题
1.4. 成功添加了博客内容
1.5. 成功保存
2. 
2.1. 成功跳转到博客编辑页
2.2. 成功修改
2.3. 成功保存
3. 
3.1. 成功跳转到上传图片列表
3.2. 添加成功
3.3. 上传成功
4. 
4.1. 成功跳转到配置页面 - 博客详情页面 - 上部
4.2. 设置成功
5. 
5.1. 成功打开新的浏览器页面进行预览
5.2. 关闭预览页
6. 
6.1. 成功显示下拉框
6.2. 跳转到提交资源页
6.3. 成功设置为推送类型为新增
6.4. 提示转发成功
",,,3,功能测试,,正常,0,1,19,通过,,0000-00-00,1,
11316,目不转睛(#6),探索性测试(#376),,极限测试法对维护类目中的添加子类目进行测试,成功登录蝉知后台点击内容，选择文章选项维护类目,"1. 选择类目“天王盖地虎”后的子类目
2. 输入子类目名称“宝塔镇河妖”，点击保存。
3. 选择子类目“宝塔镇河妖”后的子类目选项
4. 输入子类目名称“宝塔镇河妖”，点击保存
5. 选择子类目“宝塔镇河妖”后的子类目选项
6. 输入子类目名称“宝塔镇河妖”，点击保存
7. 重复进行10000次添加子类目操作，点击保存
","1. 弹出子类目编辑选项
2. 保存成功，显示类目名称
3. 弹出子类目编辑选项
4. 保存成功，显示类目名称
5. 弹出子类目编辑选项
6. 保存成功，显示类目名称
7. 保存成功，显示类目名称
",,,3,功能测试,,正常,0,1,7,通过,,0000-00-00,1,
11308,目不转睛(#6),探索性测试(#376),,使用取消测试法验证产品添加附件时上传附件的取消操作,成功登录蝉知后台系统，进入“商城”的“产品”部分,"1. 选择一件产品，点击“操作”下的“附件”超链接
2. 点击“添加文件”按钮，选择一张后缀名为.jpg的图片
3. 点击“开始上传”
3.1. 同时快速按下键盘上的esc键
3.2. 同时快速退出蝉知系统
3.3. 同时快速关闭上传窗口
","1. 进入附件列表页面
2. 
3. 取消上传操作
3.1. 取消上传操作
3.2. 取消上传操作
3.3. 取消上传操作
","1. 进入附件列表页面
2. 
3. 
3.1. 系统先执行上传操作，再执行esc键操作
3.2. 系统先执行上传操作，再执行退出蝉知系统操作
3.3. 系统先执行上传操作，再执行关闭上传窗口操作
",,3,功能测试,,正常,1,1,5,失败,尹璐,2018/12/21,2,
11307,目不转睛(#6),探索性测试(#376),,“测一赠一”测试法测试流量统计功能能否负载,能够进入后台，点击推广，进入统计界面,"1. 用鼠标点击左边的流量概况100次
2. 立即点击来源分类
","1. 浏览器长时间处于页面加载状态
2. 浏览器卡顿，一段时间之后才加载来源分类界面
",,,3,功能测试,,正常,0,1,2,通过,,0000-00-00,1,
11298,目不转睛(#6),探索性测试(#376),,使用快递测试法测试统计流量概况,成功登陆蝉知,"1. 点击首页统计选项
2. 点击流量概况，鼠标移动到对应的时间点
","1. 成功跳转到统计界面
2. 显示对应的流量数，访客数，ip数
",,,3,功能测试,,正常,0,1,2,通过,,0000-00-00,1,
11296,目不转睛(#6),探索性测试(#376),,使用地标测试法对蝉知的文章模块的测试,蝉知登录成功登录，打开内容模块，选择文章,"1. 定义类目
1.1. 点击维护类目
1.2. 添加新的类目，“天王盖地虎”，点击保存
1.3. 点击”天王盖地虎“的子类目，添加新的子类目“宝塔镇河妖”，点击保存
2. 发布博客
2.1. 点击发布文章
2.2. 选择编号1定义的类目名称，“天王盖地虎“选择琪子类目“宝塔镇河妖”
2.3. 添加标题，“天王盖地虎”
2.4. 添加文章内容，”天王盖地虎”
2.5. 点击保存
","1. 
1.1. 成功跳转到类目维护页
1.2. 成功添加新的类目
1.3. 成功添加新的子类目
2. 
2.1. 成功跳转到文章发布页
2.2. 成功添加类目名称
2.3. 成功添加标题
2.4. 成功添加文章内容
2.5. 成功保存
",,,3,功能测试,,正常,0,1,8,通过,,0000-00-00,1,
11270,目不转睛(#6),探索性测试(#376),,长路径测试法对会员模块进行板块管理,成功登陆蝉知,"1. 点击左侧菜单栏会员
2. 点击论坛选项
3. 点击板块管理
4. 点击左侧的编辑选项
5. 点击保存
","1. 成功跳转到会员界面
2. 成功跳转到论坛界面
3. 成功跳转到板块管理界面
4. 成功跳转到编辑界面
5. 显示保存成功
",,,3,功能测试,,正常,0,1,5,通过,,0000-00-00,1,
11264,目不转睛(#6),探索性测试(#376),,卖点测试法对自定义主题CSS JS代码进行可视化编译,成功登录产值后台，点击打开进行自定义主题编写,"1. 选择全部页面
1.1. 选择区块，填写区块名称，保存
1.2. 选择外观，进行外观设置，点击保存
1.3. 外观设置不满意，点击重置，重新进行外观设置
1.4. 选择CSS，进行CSS编辑，点击保存
1.5. 选择JS、，进行JS编辑，点击保存
","1. 
1.1. 保存成功
1.2. 保存成功
1.3. 重置成功
1.4. 保存成功
1.5. 保存成功
",,,3,功能测试,,正常,0,1,5,通过,,0000-00-00,1,
11262,目不转睛(#6),探索性测试(#376),,使用长路径测试法验证为导航设置添加子导航的功能,成功登录蝉知后台系统,"1. 点击左侧“设计”按钮
2. 点击“设计”下的“导航”按钮
3. 选择其中一个导航，将鼠标滑上该导航
4. 在出现的超链接中，点击第四个“添加子导航”的超链接
5. 在子导航条上，按需求选择对应的下拉菜单
6. 点击“保存”按钮
","1. 显示“设计”下的隐藏分区
2. 进入导航设置页面
3. 该导航右侧出现5个超链接
4. 显示子导航条
5. 
6. 提示“保存成功”
",,,3,功能测试,,正常,0,1,6,通过,,0000-00-00,1,
11261,目不转睛(#6),探索性测试(#376),,使用地标测试法测试蝉知的博客模块,"蝉知登录
点击内容
点击博客","1. 定义类目
1.1. 点击维护类目
1.2. 添加新的类目，“类目名称1”，点击保存
2. 发布博客
2.1. 点击发布博客
2.2. 选择编号1定义的类目名称，“类目名称1”
2.3. 添加标题，“博客标题”
2.4. 添加博客内容，“博客内容”
2.5. 点击保存
","1. 
1.1. 成功跳转到类目维护页
1.2. 成功添加新的类目
2. 
2.1. 成功跳转到博客发布页
2.2. 成功添加类目名称
2.3. 成功添加标题
2.4. 成功添加博客内容
2.5. 成功保存
",,,3,功能测试,,正常,0,1,7,通过,,0000-00-00,1,
11246,目不转睛(#6),探索性测试(#376),,对卖点测试法、质疑测试法文章中的必填项进行探索性测试,"蝉知登录
点击蝉知
点击发布文章","1. 选择类目
1.1. 选择存在的类目，“类目名称1”
1.2. 选择未存在的类目，“类目“
1.3. 选择空类目
2. 填写标题
2.1. 填写正常文字的标题，“标题”
2.2. 填写非法字符，“标题￥￥￥￥”
2.3. 填写空标题
3. 填写内容
3.1. 填写内容，“内容1”
3.2. 填写空内容
3.3. 插入地图在内容中，不填写文字内容
3.4. 插入图片在内容中，不填写文字内容
","1. 
1.1. 成功选择
1.2. 提示，没有匹配的选项，“类目”
1.3. 提示，类目不能为空
2. 
2.1. 成功填写
2.2. 成功保存，未报错
2.3. 提示，标题不能为空
3. 
3.1. 成功填写
3.2. 提示，内容不能为空
3.3. 成功保存，未报错
3.4. 成功保存，未报错
",,,3,功能测试,,正常,0,1,10,通过,,0000-00-00,1,
11245,目不转睛(#6),探索性测试(#376),,使用超模测试法对蝉知后各模块界面的测试,成功登录蝉知后台,"1. 点击左侧导航栏的项目
内容
商城
会员
推广
设计
平台
设置
查看各页面布局
2. 点击各导航栏上方子链接
查看页面布局
","1. 各页面布局合理，未出现重叠  页面布局混乱现象
2. 各页面布局合理，未出现重叠  页面布局混乱现象
",,,3,功能测试,"
系统测试阶段",正常,0,1,2,通过,,0000-00-00,1,
11233,目不转睛(#6),探索性测试(#376),,使用取消测试法测试文章添加图片功能,登录成功，进入内容文章页，至少有一个文章已经发布,"1. 点击一个文章的“图片”
2. 在弹出框中点击“添加图片”，并添加10个图片文件
3. 点击“开始上传”，并马上点击弹出框的关闭按钮
","1. 
2. 
3. 图片未能全部上传
",,,3,功能测试,,正常,0,2,3,通过,,0000-00-00,1,
11232,目不转睛(#6),探索性测试(#376),,使用极限测试法测试发布文章的标题填写处,成功登录蝉知后台系统，进入“文章”部分的发布文章下,"1. 在标题处填写150个字符，点击“保存”按钮
2. 在标题处填写151个字符，点击“保存”按钮
","1. 标题处填写符合要求
2. 显示错误提示：标题长度应当不超过150，且不小于0。
",,,3,功能测试,,正常,0,1,2,通过,,0000-00-00,1,
11226,目不转睛(#6),探索性测试(#376),,使用反叛测试法测试按日期显示统计功能,登录成功，进入蝉知统计的流量概况模块,"1. 开始日期设置为“2018-12-30”，结束日期设置为“2018-11-30”，点击查看
2. 开始日期设置为“2018-02-30”，结束日期设置为“2018-12-30”，点击查看
","1. 
2. 
",,,3,功能测试,,正常,0,1,2,通过,,0000-00-00,1,
11219,目不转睛(#6),探索性测试(#376),,使用反叛测试法测试文章发布时间设置,登录成功，进入蝉知文章页,"1. 点击发布文章
2. 选择一个已存在的类目，填写标题“1”，填写内容“1”
3. 填写发布时间为“2019-02-30 25:40”，点击保存
","1. 进入文章编辑页面
2. 填写内容成功
3. 该条文章不能发布
",,,3,功能测试,,正常,0,1,3,通过,,0000-00-00,1,
11214,目不转睛(#6),探索性测试(#376),,使用破坏测试法测试素材库中图片的删除,登录成功，进入设计组件页的素材库模块，轮播图分组中已存在一张图片,"1. 删除一张在轮播图分组中的图片
2. 返回轮播图分组，查看分组中的图片
","1. 该图片在素材库中删除成功
2. 该图片在轮播图分组中删除成功
","1.  	该图片在素材库中删除成功
2.  	该图片在轮播图分组中未能删除成功
",,3,功能测试,,正常,1,1,2,失败,,0000-00-00,1,
11205,目不转睛(#6),探索性测试(#376),,使用通宵测试法测试商城产品图片的添加,登录成功，进入商城产品页，商城中有至少一件产品,"1. 点击一个产品的“图片”
2. 点击“添加图片”，选择本地jpg文件，点击“开始 上传”
3. 使用自动化测试重复第二步骤100次
","1. 弹出图片上传框
2. 上传图片成功
3. 
",,,3,功能测试,,正常,0,1,3,通过,,0000-00-00,1,
11203,目不转睛(#6),探索性测试(#376),,使用指南测试法对订单和基本操作的测试,成功登录蝉知后台，在站点设置里开通了商城功能模块,"1. 查看订单的详细操作日志
1.1. 选择订单中产品id为1的商品，点击详情
1.2. 选择待发货订单id为1的商品，点击右侧的发货按钮，可以进行发货操作。选择发货的快递，填写好快递单号，保存。
填写的相关内容见附件中图2
","1. 
1.1. 弹出该商品订单的具体流程进度。具体信息见附件中图片1
1.2. 保存成功，完成发货操作
",,,3,功能测试,"
系统测试阶段",正常,0,1,2,通过,刘海新,2018/12/12,2,
11200,目不转睛(#6),探索性测试(#376),,使用配角测试法测试商城产品列表显示功能,登录成功，进入商城产品页，商城中有不少于15个产品,"1. 点击“每页15条”
2. 点击“每页2000条”
","1. 出现“每页n条”的下拉框
2. 产品列表每页显示2000条产品
",,,3,功能测试,,正常,0,1,2,通过,黄瑾然,2018/12/25,2,
11197,目不转睛(#6),探索性测试(#376),,使用配角测试法测试产品提交到百度功能测试,登录成功，进入商城产品页,"1. 点击一个产品的“更多”
2. 点击“提交到百度”
3. 点击“新增”，点击“保存”
","1. 在“更多”下出现“提交到百度”的下拉框
2. 弹出“提交资源”弹框
3. 产品提交成功
","1.  	在“更多”下出现“提交到百度”的下拉框
2.  	弹出“提交资源”弹框
3.  	产品提交失败
",,3,功能测试,,正常,1,1,3,失败,,0000-00-00,1,
11194,目不转睛(#6),探索性测试(#376),,使用配角测试法测试商城订单的筛选显示功能,登录成功，进入商城订单页,"1. 点击“已取消”
2. 点击“已过期”
","1. 筛选显示已取消的订单
2. 筛选显示已过期的订单
",,,3,功能测试,,正常,0,1,2,通过,,0000-00-00,1,
